Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests,nbAttempt
org/bukkit/event/player/PlayerChatEvent,true,62,678,true,0,NA,1
org/bukkit/event/player/PlayerInventoryEvent,true,21,140,true,0,NA,1
org/bukkit/event/player/PlayerAchievementAwardedEvent,true,35,200,true,0,NA,1
org/bukkit/event/player/PlayerAnimationEvent,true,32,203,true,0,NA,1
org/bukkit/event/player/PlayerEvent,true,14,118,true,0,true,1
org/bukkit/event/player/PlayerToggleSprintEvent,true,31,202,true,0,NA,1
org/bukkit/event/player/PlayerJoinEvent,true,19,169,true,0,NA,1
org/bukkit/event/player/PlayerChannelEvent,true,15,135,true,0,NA,1
org/bukkit/event/player/PlayerVelocityEvent,true,38,232,true,0,NA,1
org/bukkit/event/player/PlayerItemConsumeEvent,true,32,293,true,0,NA,1
org/bukkit/event/player/PlayerRegisterChannelEvent,true,1,32,true,0,NA,1
org/bukkit/event/player/PlayerAnimationType,true,14,30,true,10,NA,1
org/bukkit/CoalType,true,56,276,true,38,true,1
org/bukkit/SkullType,true,31,82,true,26,NA,1
org/bukkit/GrassSpecies,true,58,296,true,42,true,1
org/bukkit/GameMode,true,58,293,true,42,true,1
org/bukkit/DyeColor,true,150,2180,true,112,true,1
org/bukkit/help/HelpTopicComparator,true,10,314,true,0,NA,2
org/bukkit/help/HelpTopic,true,38,348,true,0,NA,1
org/bukkit/help/IndexHelpTopic,true,84,1011,true,15,NA,1
org/bukkit/help/HelpTopicFactory,true,1,13,true,0,NA,1
org/bukkit/help/GenericCommandHelpTopic,true,41,808,true,0,NA,1
org/bukkit/help/HelpMap,true,4,64,true,0,NA,1
org/bukkit/WorldType,true,66,327,true,48,true,1
org/bukkit/BanEntry,true,4,66,true,0,NA,1
org/bukkit/SandstoneType,true,58,296,true,42,NA,1
org/bukkit/scheduler/BukkitWorker,true,1,15,true,0,NA,1
org/bukkit/scheduler/BukkitRunnable,true,88,854,true,0,NA,1
org/bukkit/scheduler/BukkitTask,true,1,20,true,0,NA,1
org/bukkit/scheduler/BukkitScheduler,true,115,555,true,0,NA,1
org/bukkit/Material,true,3391,15076,true,1098,true,1
org/bukkit/TreeType,true,75,225,true,70,NA,1
org/bukkit/permissions/ServerOperator,true,1,14,true,0,NA,1
org/bukkit/permissions/PermissionAttachmentInfo,true,22,296,true,0,NA,1
org/bukkit/permissions/Permission,true,153,3404,true,47,true,1
org/bukkit/permissions/PermissionRemovedExecutor,true,1,9,true,0,NA,1
org/bukkit/permissions/Permissible,true,23,121,true,0,NA,1
org/bukkit/permissions/PermissionDefault,true,117,529,true,64,true,1
org/bukkit/permissions/PermissionAttachment,true,70,668,true,0,NA,1
org/bukkit/permissions/PermissibleBase,true,345,3201,true,14,NA,1
org/bukkit/generator/BlockPopulator,true,5,29,true,0,NA,1
org/bukkit/generator/ChunkGenerator,true,96,477,true,13,NA,1
org/bukkit/BanList,true,41,112,true,0,NA,1
org/bukkit/command/CommandMap,true,12,95,true,0,NA,1
org/bukkit/command/FormattedCommandAlias,true,114,1490,true,98,NA,1
org/bukkit/command/MultipleCommandAlias,true,43,213,true,20,NA,1
org/bukkit/command/TabExecutor,true,0,6,true,0,NA,1
org/bukkit/command/PluginCommand,true,105,1470,true,24,NA,1
org/bukkit/command/defaults/KickCommand,true,11,686,true,1,NA,2
org/bukkit/command/defaults/KillCommand,true,3,452,true,0,NA,2
org/bukkit/command/defaults/WhitelistCommand,true,108,1909,true,20,NA,2
org/bukkit/command/defaults/SaveOffCommand,true,3,332,true,0,true,2
org/bukkit/command/defaults/DifficultyCommand,true,40,1094,true,0,NA,2
org/bukkit/command/defaults/BukkitCommand,true,5,94,true,0,true,1
org/bukkit/command/defaults/ExpCommand,true,44,1115,true,70,NA,2
org/bukkit/command/defaults/VersionCommand,true,33,1573,true,14,true,2
org/bukkit/command/defaults/PlaySoundCommand,true,24,1436,true,13,NA,1
org/bukkit/command/defaults/SpawnpointCommand,true,57,1196,true,44,NA,2
org/bukkit/command/defaults/EnchantCommand,true,72,2425,true,72,NA,2
org/bukkit/command/defaults/PluginsCommand,true,48,474,true,20,true,1
org/bukkit/command/defaults/GiveCommand,true,23,1669,true,8,NA,2
org/bukkit/command/defaults/StopCommand,true,3,405,true,0,true,2
org/bukkit/command/defaults/PardonCommand,true,10,579,true,6,NA,2
org/bukkit/command/defaults/OpCommand,true,12,817,true,8,NA,2
org/bukkit/command/defaults/BanListCommand,true,5,898,true,0,NA,2
org/bukkit/command/defaults/GameModeCommand,true,40,1229,true,76,NA,2
org/bukkit/command/defaults/HelpCommand,true,119,3699,true,335,NA,2
org/bukkit/command/defaults/GameRuleCommand,true,37,1122,true,1,NA,2
org/bukkit/command/defaults/SaveOnCommand,true,3,332,true,0,true,2
org/bukkit/command/defaults/SeedCommand,true,14,381,true,3,NA,2
org/bukkit/command/defaults/SaveCommand,true,3,360,true,0,true,2
org/bukkit/command/defaults/TestForCommand,true,9,241,true,0,NA,1
org/bukkit/command/defaults/ClearCommand,true,25,1498,true,12,NA,2
org/bukkit/command/defaults/DeopCommand,true,10,677,true,6,NA,2
org/bukkit/command/defaults/MeCommand,true,11,342,true,0,NA,1
org/bukkit/command/defaults/TeleportCommand,true,96,1894,true,80,NA,2
org/bukkit/command/defaults/BanIpCommand,true,23,954,true,14,NA,2
org/bukkit/command/defaults/VanillaCommand,true,76,1138,true,12,true,1
org/bukkit/command/defaults/ReloadCommand,true,8,233,true,0,true,1
org/bukkit/command/defaults/SpreadPlayersCommand,true,93,4192,true,258,NA,2
org/bukkit/command/defaults/AchievementCommand,true,23,2661,true,276,NA,2
org/bukkit/command/defaults/ScoreboardCommand,true,1457,12530,true,173,NA,6
org/bukkit/command/defaults/EffectCommand,true,33,1694,true,30,NA,2
org/bukkit/command/defaults/TimingsCommand,true,54,1709,true,106,true,2
org/bukkit/command/defaults/ToggleDownfallCommand,true,13,572,true,20,NA,2
org/bukkit/command/defaults/BanCommand,true,5,685,true,0,NA,2
org/bukkit/command/defaults/DefaultGameModeCommand,true,25,815,true,15,NA,2
org/bukkit/command/defaults/ListCommand,true,4,522,true,0,NA,2
org/bukkit/command/defaults/WeatherCommand,true,8,1073,true,0,NA,2
org/bukkit/command/defaults/SetIdleTimeoutCommand,true,8,528,true,0,NA,2
org/bukkit/command/defaults/PardonIpCommand,true,5,562,true,0,NA,2
org/bukkit/command/defaults/TellCommand,true,18,616,true,0,NA,1
org/bukkit/command/defaults/SayCommand,true,5,747,true,0,NA,2
org/bukkit/command/defaults/SetWorldSpawnCommand,true,42,965,true,42,NA,2
org/bukkit/command/defaults/TimeCommand,true,53,1247,true,4,NA,2
org/bukkit/command/ConsoleCommandSender,true,0,6,true,0,NA,1
org/bukkit/command/BlockCommandSender,true,1,8,true,0,NA,1
org/bukkit/command/PluginCommandYamlParser,true,58,1197,true,0,NA,1
org/bukkit/command/RemoteConsoleCommandSender,true,0,3,true,0,NA,1
org/bukkit/command/CommandExecutor,true,4,24,true,0,NA,1
org/bukkit/command/CommandSender,true,3,34,true,0,NA,1
org/bukkit/command/TabCommandExecutor,true,0,18,true,0,NA,1
org/bukkit/command/TabCompleter,true,4,27,true,0,NA,1
org/bukkit/command/SimpleCommandMap,true,387,4627,true,47,true,1
org/bukkit/command/CommandException,true,5,83,true,0,NA,1
org/bukkit/command/Command,true,255,2715,true,123,true,3
org/bukkit/command/PluginIdentifiableCommand,true,1,5,true,0,NA,1
org/bukkit/util/FileUtil,true,38,327,true,59,NA,1
org/bukkit/util/BlockIterator,true,623,5353,true,0,NA,1
