,Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests,Compilo,Match
9453,Bukkit/eclipse/org/bukkit/event/block/EntityBlockFormEvent,True,6.0,86.0,True,0.0,,JADX-0.9.0,169.0
9454,Bukkit/eclipse/org/bukkit/event/block/BlockRedstoneEvent,True,20.0,225.0,True,0.0,,JADX-0.9.0,170.0
9455,Bukkit/eclipse/org/bukkit/event/block/BlockIgniteEvent,True,92.0,734.0,False,,,JADX-0.9.0,187.0
9456,Bukkit/eclipse/org/bukkit/event/block/BlockPistonEvent,True,7.0,174.0,True,0.0,,JADX-0.9.0,183.0
9457,Bukkit/eclipse/org/bukkit/event/block/BlockSpreadEvent,True,15.0,142.0,True,0.0,,JADX-0.9.0,171.0
9458,Bukkit/eclipse/org/bukkit/event/block/BlockMultiPlaceEvent,True,3.0,198.0,True,0.0,,JADX-0.9.0,181.0
9459,Bukkit/eclipse/org/bukkit/event/block/BlockCanBuildEvent,True,24.0,283.0,True,0.0,,JADX-0.9.0,176.0
9460,Bukkit/eclipse/org/bukkit/event/block/BlockPistonExtendEvent,True,16.0,382.0,True,0.0,,JADX-0.9.0,190.0
9461,Bukkit/eclipse/org/bukkit/event/block/BlockPistonRetractEvent,True,3.0,135.0,True,0.0,,JADX-0.9.0,189.0
9462,Bukkit/eclipse/org/bukkit/event/block/BlockBurnEvent,True,13.0,167.0,True,0.0,,JADX-0.9.0,184.0
9463,Bukkit/eclipse/org/bukkit/event/block/BlockDispenseEvent,True,24.0,334.0,True,0.0,,JADX-0.9.0,172.0
9464,Bukkit/eclipse/org/bukkit/event/HandlerList,True,193.0,1950.0,True,87.0,True,JADX-0.9.0,50.0
9465,Bukkit/eclipse/org/bukkit/event/EventException,True,13.0,219.0,True,0.0,,JADX-0.9.0,47.0
9466,Bukkit/eclipse/org/bukkit/event/player/PlayerShearEntityEvent,True,15.0,221.0,True,0.0,,JADX-0.9.0,109.0
9467,Bukkit/eclipse/org/bukkit/event/player/PlayerChangedWorldEvent,True,14.0,133.0,True,0.0,,JADX-0.9.0,149.0
9468,Bukkit/eclipse/org/bukkit/event/player/PlayerBucketEvent,True,24.0,338.0,True,0.0,,JADX-0.9.0,140.0
9469,Bukkit/eclipse/org/bukkit/event/player/AsyncPlayerPreLoginEvent,True,122.0,1083.0,False,,,JADX-0.9.0,116.0
9470,Bukkit/eclipse/org/bukkit/event/player/PlayerCommandPreprocessEvent,True,37.0,687.0,True,6.0,,JADX-0.9.0,126.0
9471,Bukkit/eclipse/org/bukkit/event/player/PlayerToggleFlightEvent,True,19.0,202.0,True,0.0,,JADX-0.9.0,142.0
9472,Bukkit/eclipse/org/bukkit/event/player/PlayerDropItemEvent,True,19.0,200.0,True,0.0,,JADX-0.9.0,128.0
9473,Bukkit/eclipse/org/bukkit/event/player/PlayerBedEnterEvent,True,18.0,200.0,True,0.0,,JADX-0.9.0,124.0
9474,Bukkit/eclipse/org/bukkit/event/player/AsyncPlayerChatEvent,True,42.0,464.0,True,6.0,,JADX-0.9.0,131.0
9475,Bukkit/eclipse/org/bukkit/event/player/PlayerPickupItemEvent,True,23.0,256.0,True,0.0,,JADX-0.9.0,150.0
9476,Bukkit/eclipse/org/bukkit/event/player/PlayerExpChangeEvent,True,17.0,169.0,True,0.0,,JADX-0.9.0,121.0
9477,Bukkit/eclipse/org/bukkit/event/player/PlayerKickEvent,True,36.0,347.0,True,8.0,,JADX-0.9.0,137.0
