Class,CFR-0.141,Dava-3.3.0,Fernflower,JADX-0.9.0,JD-Core-1.0.0,JD-GUI-1.4.1,Jode-1.1.2-pre1,Krakatau,Procyon-0.5.34
Bukkit/eclipse/org/bukkit/entity/Bat,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Blaze,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Boat,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/CaveSpider,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Chicken,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/ComplexEntityPart,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/ComplexLivingEntity,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Cow,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Creature,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/CreatureType,True,False,True,False,False,False,False,False,True
Bukkit/eclipse/org/bukkit/entity/Creeper,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Damageable,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Egg,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/EnderCrystal,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/EnderDragon,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/EnderDragonPart,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/EnderPearl,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/EnderSignal,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Enderman,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Entity,True,False,True,True,True,False,True,False,False
Bukkit/eclipse/org/bukkit/entity/EntityType,True,False,True,False,False,False,False,False,True
Bukkit/eclipse/org/bukkit/entity/ExperienceOrb,True,True,True,True,True,True,True,True,True
